,Date,Phase (degrees), Distance (M) ,Declination (degrees),Azimuth (degrees),Altitude (degrees)
3482,9:57:40 PM,76," 377,898,225 ",-19.28340224,352.751076,-64.13686291
3483,9:57:40 PM,66," 376,368,740 ",-18.28545086,326.5938284,-59.77288429
3484,9:57:40 PM,55," 375,048,419 ",-16.20885746,308.5859526,-51.52435169
3485,9:57:40 PM,43," 373,952,029 ",-13.19330629,296.6751409,-41.30510802
3486,9:57:40 PM,32," 373,146,621 ",-9.437268375,288.1861447,-30.12432397
3487,9:57:40 PM,22," 372,746,581 ",-5.175065904,281.5089517,-18.47132456
3488,9:57:40 PM,13," 372,891,898 ",-0.65989518,275.7203117,-6.535121163
3489,9:57:40 PM,7," 373,713,886 ",3.848012619,270.2174742,5.379816862
3490,9:57:40 PM,2," 375,296,906 ",8.092213508,264.5058515,16.95208558
3491,9:57:40 PM,0," 377,645,836 ",11.83349771,258.0522789,28.22608292
3492,9:57:40 PM,1," 380,668,406 ",14.86682976,250.1325653,38.88590623
3493,9:57:40 PM,3," 384,176,770 ",17.03918228,239.6301659,48.54206228
3494,9:57:40 PM,8," 387,907,255 ",18.26303038,224.8759054,56.53495115
3495,9:57:40 PM,14," 391,552,472 ",18.52011358,204.3236339,61.74465745
3496,9:57:40 PM,21," 394,798,451 ",17.85326058,179.6763225,62.86412546
3497,9:57:40 PM,30," 397,359,818 ",16.34916925,157.1055389,59.68921447
3498,9:57:40 PM,39," 399,009,157 ",14.11866687,140.3203081,53.46321017
3499,9:57:40 PM,48," 399,598,471 ",11.28088127,128.4957616,45.50273738
3500,9:57:40 PM,58," 399,072,411 ",7.954833457,119.8367346,36.56772637
3501,9:57:40 PM,67," 397,473,473 ",4.258763937,113.040553,27.02023009
3502,9:57:40 PM,76," 394,939,379 ",0.31561819,107.287669,17.03162655
3503,9:57:40 PM,84," 391,692,007 ",-3.737576581,102.0348369,6.725579281
3504,9:57:40 PM,91," 388,017,531 ",-7.739164055,96.86217756,-2.610804382
3505,9:57:40 PM,96," 384,237,272 ",-11.49485317,91.3623658,-15.00313037
3506,9:57:40 PM,99," 380,671,332 ",-14.77752713,85.02987202,-26.01487406
3507,9:57:40 PM,100," 377,598,918 ",-17.34111874,77.09867001,-36.8809486
3508,9:57:40 PM,98," 375,222,681 ",-18.95255763,66.26213774,-47.15006631
3509,9:57:40 PM,94," 373,645,651 ",-19.43754347,50.32124118,-55.93060235
3510,9:57:40 PM,87," 372,867,307 ",-18.72375343,26.92853822,-61.52928793
3511,9:57:40 PM,79," 372,800,709 ",-16.85990784,358.6871115,-61.85771757
3512,9:57:40 PM,68," 373,305,661 ",-14.00087142,334.496849,-56.78532198
3513,9:57:40 PM,57," 374,228,556 ",-10.36975419,317.782174,-48.33070891
3514,9:57:40 PM,46," 375,438,218 ",-6.218149172,306.3657313,-38.239422
3515,9:57:40 PM,35," 376,848,996 ",-1.799043324,297.9479603,-27.41748756
3516,9:57:40 PM,25," 378,427,976 ",2.645456219,291.1327429,-16.30708861
3517,9:57:40 PM,16," 380,185,293 ",6.887226082,285.0926154,-4.644339103
3518,9:57:40 PM,9," 382,152,888 ",10.71337295,279.2709173,6.028458584
3519,9:57:40 PM,4," 384,357,058 ",13.93110932,273.2055454,16.72666201
3520,9:57:40 PM,1," 386,791,986 ",16.37841407,266.4094252,27.06947234
3521,9:57:40 PM,0," 389,400,967 ",17.93862566,258.259862,36.79136384
3522,9:57:40 PM,1," 392,068,849 ",18.55349615,247.8843675,45.55493368
3523,9:57:40 PM,5," 394,626,871 ",18.22809749,234.1384752,52.81681814
3524,9:57:40 PM,10," 396,868,868 ",17.02400684,216.1175402,57.73372448
3525,9:57:40 PM,16," 398,574,182 ",15.04298592,194.8161062,59.34518467
3526,9:57:40 PM,24," 399,534,416 ",12.40770086,173.9889606,57.29769203
3527,9:57:40 PM,32," 399,579,592 ",9.246142995,156.895415,52.25047934
3528,9:57:40 PM,41," 398,601,734 ",5.683463057,143.9045045,45.21216747
3529,9:57:40 PM,51," 396,573,741 ",1.841727356,133.9499955,36.92568975
3530,9:57:40 PM,60," 393,562,317 ",-2.153801295,125.9339762,27.81201124
3531,9:57:40 PM,70," 389,733,364 ",-6.163988977,119.0476429,18.09774907
