FID,X,Y,Call_Taken,Location,Day,x2,y2
128,-10384781.918037,5624207.420743,12/29/2015 12:00:00 AM,3419 Lyndale Ave n,Day 1,-10384781.9180363,5624207.42074329
129,-10381455.340445,5619653.032902,12/30/2015 12:00:00 AM,61 2nd St NE,Day 1,-10381455.3404444,5619653.03290191
130,-10383838.025432,5614108.688318,12/30/2015 12:00:00 AM,2747 Blaisdell Ave S,Day 1,-10383838.0254308,5614108.68831798
131,-10379715.9245,5615852.415338,12/29/2015 12:00:00 AM,2002 9th st s,Day 1,-10379715.9244987,5615852.41533846
132,-10381691.010944,5620140.012735,12/30/2015 12:00:00 AM,355 2nd St NE,Day 1,-10381691.0109429,5620140.01273505
133,-10379362.737552,5615856.234666,12/29/2015 12:00:00 AM,2203 9th street s,Day 1,-10379362.7375515,5615856.23466604
134,-10381455.340445,5619653.032902,12/30/2015 12:00:00 AM,61 2nd St NE,Day 1,-10381455.3404444,5619653.03290191
135,-10384781.920789,5624240.291562,12/29/2015 12:00:00 AM,3431 Lyndale Ave n,Day 1,-10384781.9207876,5624240.29156247
136,0,0,12/30/2015 12:00:00 AM,14 ave se,Day 1
137,-10382800.942592,5609028.140563,12/29/2015 12:00:00 AM,4550 4th av s,Day 1,-10382800.9425913,5609028.14056292
138,0,0,12/30/2015 12:00:00 AM,14th ave se 8th st se,Day 1
139,-10382801.260003,5608984.474261,12/29/2015 12:00:00 AM,4566 4th ave s,Day 1,-10382801.2600024,5608984.4742608
140,0,0,12/30/2015 12:00:00 AM,2586 w 43rd st,Day 1
141,-10377174.807652,5617245.040247,12/29/2015 12:00:00 AM,2615 university Ave Se,Day 1,-10377174.8076505,5617245.04024707
142,-10382029.732939,5620839.188377,12/30/2015 12:00:00 AM,747 2nd St NE,Day 1,-10382029.732938,5620839.18837735
143,-10380242.98438,5623102.990478,12/29/2015 12:00:00 AM,2215 Central Ave NE,Day 1,-10380242.9843795,5623102.99047787
144,-10384072.13471,5611727.742749,12/30/2015 12:00:00 AM,216 36th st w,Day 1,-10384072.1347091,5611727.74274904
145,-10382799.254717,5609230.632643,12/29/2015 12:00:00 AM,4480 4th ave s,Day 1,-10382799.2547158,5609230.63264286
146,-10383883.343347,5621147.231479,12/30/2015 12:00:00 AM,1815 2nd st so,Day 1,-10383883.3433462,5621147.23147881
147,-10379217.014043,5615857.924844,12/29/2015 12:00:00 AM,2321 9th st s,Day 1,-10379217.0140425,5615857.9248444
148,-10381691.010944,5620140.012735,12/30/2015 12:00:00 AM,355 2nd St NE,Day 1,-10381691.0109429,5620140.01273505
149,0,0,12/29/2015 12:00:00 AM,386 w 15th st,Day 1
150,-10387564.459057,5609633.210157,12/30/2015 12:00:00 AM,2638 43rd st w,Day 1,-10387564.4590558,5609633.21015719
151,-10382795.818325,5609557.98466,12/29/2015 12:00:00 AM,4364 4th ave s,Day 1,-10382795.8183236,5609557.98466027
152,-10383832.470613,5615213.158187,12/30/2015 12:00:00 AM,2311 Blaisdell ave s,Day 1,-10383832.4706123,5615213.15818711
153,0,0,12/29/2015 12:00:00 AM,2001 S 9th st,Day 1
154,-10386693.13981,5626771.145892,12/30/2015 12:00:00 AM,2043 43rd ave s,Day 1,-10386693.1398093,5626771.14589165
155,-10380239.811978,5623619.041278,12/29/2015 12:00:00 AM,2507 Central Ave NE,Day 1,-10380239.8119766,5623619.04127768
156,0,0,12/30/2015 12:00:00 AM,1215w 26th,Day 1
157,-10384781.572488,5623957.904094,12/29/2015 12:00:00 AM,3331 lyndale ave n,Day 1,-10384781.5724871,5623957.90409406
158,-10387611.155168,5625433.607741,12/30/2015 12:00:00 AM,3841 Thomas Ave N,Day 1,-10387611.1551669,5625433.60774055
159,-10380241.029855,5623454.777168,12/29/2015 12:00:00 AM,2409 Central Ave NE,Day 1,-10380241.0298544,5623454.77716769
160,-10385931.431279,5612435.449471,12/30/2015 12:00:00 AM,3340 Hennepin,Day 1,-10385931.4312782,5612435.44947089
161,-10383732.486257,5619772.406752,12/30/2015 12:00:00 AM,801 WASHINGTON AVE N,Day 1,-10383732.4862562,5619772.40675211
162,-10382790.408374,5610808.422954,12/29/2015 12:00:00 AM,3922 4th ave s,Day 1,-10382790.4083731,5610808.42295355
163,-10383831.978429,5615301.406719,12/30/2015 12:00:00 AM,2245 blaisdell,Day 1,-10383831.9784282,5615301.40671903
164,-10384771.870309,5625012.384557,12/29/2015 12:00:00 AM,3700 Lyndale Ave n,Day 1,-10384771.8703078,5625012.38455665
165,-10381376.396256,5621955.633504,12/30/2015 12:00:00 AM,1475 Washington St NE,Day 1,-10381376.3962552,5621955.63350415
166,-10381449.766617,5615199.051595,12/29/2015 12:00:00 AM,2323 11TH AVE S,Day 1,-10381449.7666158,5615199.05159532
167,-10377177.773063,5617246.721787,12/29/2015 12:00:00 AM,2613 university ave se,Day 1,-10377177.7730619,5617246.72178701
168,-10381958.959284,5613505.819615,12/30/2015 12:00:00 AM,2940 Chicago AV s,Day 1,-10381958.9592834,5613505.81961492
169,-10382778.224851,5610655.816985,12/29/2015 12:00:00 AM,3979 4th Ave s.,Day 1,-10382778.2248504,5610655.81698514
170,-10381449.303667,5619612.346783,12/30/2015 12:00:00 AM,38 2nd St NE,Day 1,-10381449.303666,5619612.34678349
171,-10379102.444156,5624534.459697,12/29/2015 12:00:00 AM,2827 Johnson St NE,Day 1,-10379102.4441553,5624534.45969717
172,-10378763.59548,5619147.425814,12/30/2015 12:00:00 AM,1300 8th St se,Day 1,-10378763.5954792,5619147.42581403
173,-10382790.408374,5610808.422954,12/29/2015 12:00:00 AM,3922 4th ave s,Day 1,-10382790.4083731,5610808.42295355
174,-10382890.067568,5621788.123644,12/30/2015 12:00:00 AM,1434 Marshall St NE,Day 1,-10382890.0675671,5621788.12364392
175,-10379376.558513,5615844.325902,12/29/2015 12:00:00 AM,2210 9th st. s,Day 1,-10379376.5585123,5615844.32590201
176,-10377521.704388,5606223.344986,12/30/2015 12:00:00 AM,5545 34th ave so,Day 1,-10377521.7043872,5606223.34498583
177,-10381949.204419,5612244.149712,12/29/2015 12:00:00 AM,3416 Chicago,Day 1,-10381949.2044182,5612244.14971154
178,-10385528.980734,5614518.927003,12/30/2015 12:00:00 AM,1229 26th st w,Day 1,-10385528.9807329,5614518.92700316
179,-10382778.962294,5611354.926768,12/29/2015 12:00:00 AM,3731 4th Avenue South,Day 1,-10382778.9622932,5611354.92676757
180,-10381801.974245,5620369.881223,12/30/2015 12:00:00 AM,467 2nd St NE,Day 1,-10381801.9742437,5620369.88122325
181,-10378662.311993,5615856.004886,12/29/2015 12:00:00 AM,2503 9th st s,Day 1,-10378662.3119917,5615856.00488609
182,-10379377.378501,5619531.166681,12/30/2015 12:00:00 AM,815 9th ave se,Day 1,-10379377.3785005,5619531.1666812
183,-10379393.26744,5615856.866136,12/29/2015 12:00:00 AM,2221 9th st,Day 1,-10379393.2674394,5615856.86613581
