Club,Last Name,First Name,Position,Salary,Compensation,Year
LAFC,Leone,Antonio,D-M,63547,65547,2020
Colorado Rapids,Lewis,Jonathan,F,117500,155000,2020
Seattle Sounders FC,Leyva,Danny,M,63547,83052,2020
Columbus Crew,Lillard,Grant,D,110000,112500,2020
Columbus Crew,Lima,Artur,M,444000,495633,2020
San Jose Earthquakes,Lima,Nick,D,225000,243438,2020
Sporting Kansas City,Lindsey,Jaylin,D,81375,84375,2020
LA Galaxy,Lletget,Sebastian,M,775000,898750,2020
FC Cincinnati,Locadia,Jurgen,F,2000000,2312500,2020
Minnesota United,Lod,Robin,M-F,849996,952496,2020
Seattle Sounders FC,Lodeiro,Nicolas,M,2120000,2622500,2020
Orlando City SC,Loera,David,M,90000,92500,2020
New York Red Bulls,Long,Aaron,D,835000,865000,2020
LA Galaxy,Lopez,Eric,GK,81375,81375,2020
San Jose Earthquakes,Lopez,Marcos,D,300000,340250,2020
Portland Timbers,Loría,Marvin,M,81375,81375,2020
Nashville SC,Lovitz,Daniel,D,365000,395556,2020
Real Salt Lake,Luiz,Everton,M,1080000,1180000,2020
Houston Dynamo,Lundkvist,Adam,D,280000,308750,2020
FC Cincinnati,Lundt,Ben,GK,81375,84784,2020
Major League Soccer,Lyon,Charlie,GK,81375,81375,2020
Portland Timbers,Mabiala,Larrys,D,799992,843325,2020
Montreal Impact,Maciel,Emanuel,M,81375,93004,2020
New York City FC,Mackay-Steven,Gary,M,260000,274833,2020
Real Salt Lake,MacMath,Zac,GK,200000,200000,2020
Nashville SC,Maher,Jack,D,100000,134000,2020
Inter Miami,Makoun,Christian,D-M,150000,150000,2020
New England Revolution,Mancienne,Michael,D,400000,440000,2020
New England Revolution,Manneh,Kekuta,F,475000,491667,2020
