Row Number,Date Captured,Location Category,Store,Address
402,2024-09-02,Toys + Games + Hobbies,Sweet Puppies,E6323
403,2024-09-02,Sweets + Treats,Sweet Treats,UNickelodeon
404,2024-09-02,Electronics + Tech,T-Mobile,S118
405,2024-09-02,Attractions + Entertainment,Tactical Urban Combat,W340
406,2024-09-02,Electronics + Tech,Tesla | Kiosk,N6175
407,2024-09-02,Children's Apparel,The Children's Place,S272
408,2024-09-02,Attractions + Entertainment,The Escape Game,E300
409,2024-09-02,Attractions + Entertainment,The Fair on 4,E402
410,2024-09-02,Jewelry + Watches,The Inspiration Company,E110
411,2024-09-02,Attractions + Entertainment,The LEGO Store,S164
412,2024-09-02,Men's Apparel,The Normal Brand,S142
413,2024-09-02,Women's Apparel,The North Face,S166
414,2024-09-02,Men's Apparel,Third Degree Heat,W244
415,2024-09-02,Coffee + Tea,Tii Cup @ Macy's,S4000E
416,2024-09-02,Women's Apparel,Tilly's,N246
417,2024-09-02,Shoes,Timberland,W278
418,2024-09-02,Women's Apparel,Tommy Bahama,W235
419,2024-09-02,Men's Apparel,Topman @ Nordstrom,N1000
420,2024-09-02,Women's Apparel,Topshop @ Nordstrom,N1000
421,2024-09-02,Women's Apparel,Torrid,N148
422,2024-09-02,Toys + Games + Hobbies,Toy Store,UNickelodeon
423,2024-09-02,Toys + Games + Hobbies,Toys and Games @ Barnes & Noble,E118
424,2024-09-02,Toys + Games + Hobbies,Toys R Us @ Macy's,S4000
425,2024-09-02,Toys + Games + Hobbies,"Toys""R""Us Flagship",E141
426,2024-09-02,Shoes,Tradehome Shoes,E156
427,2024-09-02,Accessories,Travel Style Luggage,S105
428,2024-09-02,Men's Apparel,TravisMathew,S173
429,2024-09-02,Sweets + Treats,Treats Cereal Bar + Boba,E372
430,2024-09-02,Women's Apparel,Trendica,S206
431,2024-09-02,Men's Apparel,True Classic,S130
432,2024-09-02,Luggage + Bags,Tumi,W140
433,2024-09-02,Full Service Restaurants,Twin City Grill,N130
434,2024-09-02,Books + Cards + Gifts,UBetcha!,E154
435,2024-09-02,Shoes,UGG,S144
436,2024-09-02,Health + Beauty,Ulta Beauty,E215
437,2024-09-02,n/a,Ultra LED Signs,W6115
438,2024-09-02,Women's Apparel,Under Armour,W240
439,2024-09-02,Coffee + Tea,Uni Uni,E114
440,2024-09-02,Mall of America® Gift Cards,Unique,N365
441,2024-09-02,n/a,Universe of Light,C5100
442,2024-09-02,Men's Apparel,UNTUCKit,N114
443,2024-09-02,Women's Apparel,Urban Outfitters,W122
444,2024-09-02,Men's Apparel,Urban Planet,E248
445,2024-09-02,Services,Valet - North,LLower
446,2024-09-02,Services,Valet - South,LLower
447,2024-09-02,Shoes,Vans,N254
448,2024-09-02,Luggage + Bags,Vera Bradley,S288
449,2024-09-02,Late Night Dining,Vern's Bayou Bar,S200
450,2024-09-02,Jewelry + Watches,Veronica's Jewelry,W387
451,2024-09-02,Women's Apparel,Victoria's Secret,W220
452,2024-09-02,Women's Apparel,Victoria's Secret,N178
453,2024-09-02,Women's Apparel,"Vikings Locker Room, a Fanatics Experience",E126
454,2024-09-02,Food Court,Vitali's Kitchen,S392
455,2024-09-02,Men's Apparel,Vuori,S152
456,2024-09-02,Sweets + Treats,Wafels & Dinges,W360
457,2024-09-02,Full Service Restaurants,Wahlburgers,N234
458,2024-09-02,Convenience,Walgreens,E330
459,2024-09-02,Eyewear,Warby Parker,W158
460,2024-09-02,Jewelry + Watches,Watches of Switzerland,W136
461,2024-09-02,Health + Beauty,waterdrop®,W165
462,2024-09-02,Men's Apparel,Watson,S210A
463,2024-09-02,Toys + Games + Hobbies,Wax Hands,N218
464,2024-09-02,Mall of America® Gift Cards,West Food Cart,UNickelodeon
465,2024-09-02,Mall of America® Gift Cards,West Self-Service Ticketing,UNickelodeon
466,2024-09-02,Sweets + Treats,Wetzel's Pretzels | Kiosk,W1805
467,2024-09-02,Health + Beauty,White Barn Candle,S234B
468,2024-09-02,Women's Apparel,White House | Black Market,S148
469,2024-09-02,Women's Apparel,Wilson,N101
470,2024-09-02,Women's Apparel,Windsor,N240
471,2024-09-02,Attractions + Entertainment,Wink World,N380
472,2024-09-02,Health + Beauty,Worker B,S126
473,2024-09-02,Attractions + Entertainment,Xscape Arcade,E342
474,2024-09-02,Attractions + Entertainment,XSCAPE Entertainment Center,C5152
475,2024-09-02,Attractions + Entertainment,Xscape Entertainment Center,C5155
476,2024-09-02,Home,Yankee Candle Co.,N286
477,2024-09-02,Jewelry + Watches,Zales,E240
478,2024-09-02,Women's Apparel,Zara,C185
479,2024-09-02,Women's Apparel,Zumiez,N236
480,2024-09-02,Home,Zwilling,S168
481,2024-09-02,Books + Cards + Gifts,3D Crystals | Kiosk,E6102
482,2024-09-02,Home,3D World,E278
483,2024-09-02,Men's Apparel,5bulouz,S204
484,2024-09-02,Attractions + Entertainment,5D Extreme Attraction by Matrix Technology,C5130
485,2024-09-02,Jewelry + Watches,925 Sterling Avenue | Kiosk,W6103
