domain_id,domain,email_count,sender_count,first_seen,last_seen
105,ride.bird.co,1,1,2025-07-26 00:40:27+00:00,2025-07-26 00:40:27+00:00
106,shakeshack.com,1,1,2026-06-17 14:29:11+00:00,2026-06-17 14:29:11+00:00
107,spe.zyngamail.com,1,1,2019-06-13 00:34:01+00:00,2019-06-13 00:34:01+00:00
108,stjoan.com,9,3,2018-01-08 13:00:14+00:00,2026-06-26 22:00:20+00:00
109,substack.com,9,2,2026-06-03 18:11:56+00:00,2026-07-01 15:57:29+00:00
110,toppers.com,1,1,2015-03-01 16:26:13+00:00,2015-03-01 16:26:13+00:00
111,uofminn.org,1,1,2013-03-04 16:26:21+00:00,2013-03-04 16:26:21+00:00
112,update.uefa.com,2,1,2022-11-01 16:54:53+00:00,2022-11-21 16:21:24+00:00
113,usmail.shein.com,5,1,2023-02-16 01:26:23+00:00,2023-07-09 21:38:51+00:00
114,vagaro.com,1,1,2021-08-19 16:18:31+00:00,2021-08-19 16:18:31+00:00
115,vina.io,3,2,2017-11-07 23:37:25+00:00,2018-08-01 18:11:45+00:00
116,vividcortex.com,1,1,2015-12-14 01:15:21+00:00,2015-12-14 01:15:21+00:00
117,weebly.com,1,1,2016-12-28 22:12:14+00:00,2016-12-28 22:12:14+00:00
118,whispermemos.com,2,1,2026-01-14 17:00:06+00:00,2026-06-02 15:23:24+00:00
119,wish.com,45,1,2019-05-17 16:23:17+00:00,2022-05-27 16:17:20+00:00
120,your.offers.dominos.com,6,1,2020-09-12 21:22:50+00:00,2020-12-17 22:11:49+00:00
121,zingmyorder.com,5,1,2024-05-10 14:02:03+00:00,2024-08-08 15:14:03+00:00
