email_id,label
241,Unread
242,Inbox
242,Category Promotions
242,Unread
243,Archived
243,Category Promotions
243,Unread
243,Personal
244,Inbox
244,Category Promotions
244,Unread
245,Inbox
245,Category Promotions
245,Unread
246,Inbox
246,Category Promotions
246,Unread
247,Inbox
247,Category Promotions
247,Unread
248,Archived
248,Category Promotions
248,Unread
248,Personal
249,Inbox
249,Category Promotions
249,Unread
250,Archived
250,Category Promotions
250,Unread
250,Personal
251,Archived
251,Category Promotions
251,Unread
251,Personal
252,Archived
252,Category Promotions
252,Unread
252,Personal
253,Inbox
253,Category Promotions
253,Unread
254,Inbox
254,Category Promotions
254,Unread
255,Inbox
255,Category Promotions
255,Unread
256,Archived
256,Category Promotions
256,Unread
256,Personal
257,Archived
257,Category Promotions
257,Unread
257,Personal
258,Inbox
258,Category Promotions
258,Unread
259,Archived
259,Category Promotions
259,Unread
259,Personal
260,Archived
260,Category Promotions
260,Unread
260,Personal
261,Inbox
261,Category Promotions
261,Unread
262,Inbox
262,Category Promotions
262,Unread
263,Inbox
263,Category Promotions
263,Unread
264,Archived
264,Category Promotions
264,Unread
264,Personal
265,Inbox
265,Category Promotions
265,Unread
266,Inbox
266,Category Promotions
266,Unread
267,Archived
267,Category Promotions
267,Unread
267,Personal
268,Archived
268,Category Promotions
268,Unread
268,Personal
269,Inbox
269,Category Promotions
269,Unread
270,Archived
270,Category Promotions
270,Unread
270,Personal
271,Inbox
271,Category Promotions
271,Unread
272,Inbox
272,Category Promotions
272,Unread
273,Archived
273,Category Promotions
273,Unread
273,Personal
274,Inbox
274,Category Promotions
274,Unread
275,Inbox
275,Category Promotions
275,Unread
276,Inbox
276,Category Promotions
276,Unread
277,Inbox
277,Category Promotions
277,Unread
278,Archived
278,Category Promotions
278,Unread
278,Personal
279,Inbox
279,Category Promotions
279,Unread
280,Inbox
280,Category Promotions
280,Unread
281,Inbox
281,Category Promotions
281,Unread
282,Inbox
282,Category Promotions
282,Unread
283,Archived
283,Category Promotions
283,Unread
283,Personal
284,Archived
284,Category Promotions
284,Unread
284,Personal
285,Archived
285,Category Promotions
285,Unread
285,Personal
286,Inbox
286,Category Promotions
286,Unread
287,Inbox
287,Category Promotions
287,Unread
288,Inbox
288,Category Promotions
288,Unread
289,Archived
289,Category Promotions
289,Unread
289,Personal
290,Inbox
290,Category Promotions
290,Unread
291,Inbox
291,Category Promotions
291,Unread
292,Inbox
292,Category Promotions
292,Unread
293,Inbox
293,Category Promotions
293,Unread
294,Archived
294,Category Promotions
294,Unread
294,Personal
295,Inbox
295,Category Promotions
295,Unread
296,Inbox
296,Category Promotions
296,Unread
297,Inbox
297,Category Promotions
297,Unread
298,Archived
298,Category Promotions
298,Unread
298,Personal
299,Inbox
299,Category Promotions
299,Unread
300,Archived
300,Category Promotions
300,Unread
300,Personal
301,Inbox
301,Category Promotions
301,Unread
302,Inbox
302,Category Promotions
302,Unread
303,Archived
303,Category Promotions
303,Unread
303,Personal
304,Inbox
304,Category Promotions
304,Unread
305,Archived
305,Category Promotions
305,Unread
305,Personal
306,Archived
306,Category Promotions
306,Unread
306,Personal
307,Archived
307,Category Promotions
307,Unread
307,Personal
308,Inbox
308,Category Promotions
308,Unread
309,Archived
309,Category Promotions
309,Unread
309,Personal
310,Archived
310,Category Promotions
310,Unread
310,Personal
311,Inbox
311,Category Promotions
311,Unread
312,Inbox
312,Category Promotions
312,Unread
313,Archived
313,Category Promotions
313,Unread
313,Personal
314,Inbox
314,Category Promotions
314,Unread
315,Inbox
315,Category Promotions
315,Unread
316,Archived
316,Category Promotions
316,Unread
316,Personal
317,Inbox
317,Category Promotions
317,Unread
318,Inbox
318,Category Promotions
318,Unread
319,Archived
319,Opened
319,Category Promotions
320,Archived
320,Category Promotions
320,Unread
320,Personal
321,Inbox
321,Category Promotions
321,Unread
322,Inbox
322,Category Promotions
322,Unread
323,Inbox
323,Category Promotions
323,Unread
324,Inbox
324,Category Promotions
324,Unread
325,Archived
325,Category Promotions
325,Unread
325,Personal
326,Inbox
326,Category Promotions
326,Unread
327,Archived
327,Category Promotions
